upc,name,brand,category,ingredients,notices_json,lawsuits_json
011111111111,Clarifying Shampoo,FoamLab,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|BHT","[]","[]"
022222222222,Mineral SPF 30,SunKind,Skin Care,"Water|Zinc Oxide|Glycerin|Fragrance","[{""type"":""notice"",""status"":""current"",""date"":""2025-05-01"",""title"":""Label update"",""source"":""https://example.org/notice""}]","[]"
033333333333,Keratin Serum,SleekCo,Hair Styling,"Cyclopentasiloxane|Dimethiconol|Quaternium-15|Limonene","[]","[{""status"":""filed"",""date"":""2024-11-20"",""title"":""Allergen claim"",""source"":""https://example.org/case""}]"
044444444444,Organic Face Cream,NatureGlow,Skin Care,"Aqua|Cetearyl Alcohol|Shea Butter|Lavandula Angustifolia Oil","[]","[]"
055555555555,Volumizing Mousse,BigHair,Hair Styling,"Water|Polyquaternium-11|Fragrance|Citral","[{""type"":""recall"",""status"":""current"",""date"":""2024-12-15"",""title"":""Microbial contamination"",""source"":""https://example.org/recall""}]","[]"
066666666666,Hydrating Toner,FreshFace,Skin Care,"Water|Glycerin|Witch Hazel|Rosa Damascena Flower Water","[]","[]"
077777777777,Anti-Dandruff Shampoo,ScalpCare,Hair Care,"Pyrithione Zinc|Sodium Laureth Sulfate|Fragrance|Menthol","[]","[{""status"":""settled"",""date"":""2023-08-30"",""title"":""False advertising"",""source"":""https://example.org/case""}]"
088888888888,Leave-In Conditioner,SoftLocks,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
099999999999,SPF 50 Sunscreen,UltraShield,Skin Care,"Water|Homosalate|Octocrylene|Fragrance","[]","[]"
100000000000,Texturizing Spray,StylePro,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
111111111111,Soothing After-Sun Lotion,CoolSkin,Skin Care,"Aloe Barbadensis Leaf Juice|Glycerin|Panthenol|Fragrance","[]","[]"
122222222222,Color Protect Shampoo,ColorSafe,Hair Care,"Water|Sodium Laureth Sulfate|Cocamidopropyl Betaine|Fragrance","[]","[]"
133333333333,Deep Conditioning Mask,HydraHair,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Methosulfate|Fragrance","[]","[]"
144444444444,Facial Cleanser,GentleGlow,Skin Care,"Water|Sodium Lauroyl Sarcosinate|Glycerin|Fragrance","[]","[]"
155555555555,Hair Growth Serum,ThickLocks,Hair Care,"Water|Biotin|Caffeine|Fragrance","[]","[]"
166666666666,Mattifying Moisturizer,ClearSkin,Skin Care,"Water|Dimethicone|Glycerin|Fragrance","[]","[]"
177777777777,Curl Defining Cream,CurlMagic,Hair Styling,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
188888888888,Anti-Aging Serum,YouthfulGlow,Skin Care,"Water|Hyaluronic Acid|Retinol|Fragrance","[]","[]"
199999999999,Heat Protectant Spray,SafeStyle,Hair Styling,"Water|Cyclopentasiloxane|Dimethiconol|Fragrance","[]","[]"
200000000000,Detangling Spray,EzyComb,Hair Care,"Water|Glycerin|Panthenol|Fragrance","[]","[]"
211111111111,Exfoliating Scrub,SmoothSkin,Skin Care,"Water|Jojoba Beads|Glycerin|Fragrance","[]","[]"
222222222222,Volumizing Shampoo,BigVolume,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|Citral","[]","[]"
233333333333,Hydrating Serum,MoistureBoost,Skin Care,"Water|Hyaluronic Acid|Glycerin|Fragrance","[]","[]"
244444444444,Texturizing Paste,StyleFix,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
255555555555,Clarifying Conditioner,FoamLab,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|BHT","[]","[]"
266666666666,SPF 15 Daily Moisturizer,SunKind,Skin Care,"Water|Zinc Oxide|Glycerin|Fragrance","[]","[]"
277777777777,Keratin Hair Mask,SleekCo,Hair Care,"Cyclopentasiloxane|Dimethiconol|Quaternium-15|Limonene","[]","[{""status"":""filed"",""date"":""2024-11-20",""title"":""Allergen claim"",""source"":""https://example.org/case""}]"
288888888888,Organic Night Cream,NatureGlow,Skin Care,"Aqua|Cetearyl Alcohol|Shea Butter|Lavandula Angustifolia Oil","[]","[]"
299999999999,Volumizing Foam,BigHair,Hair Styling,"Water|Polyquaternium-11|Fragrance|Citral","[{""type"":""recall"",""status"":""current"",""date"":""2024-12-15"",""title"":""Microbial contamination"",""source"":""https://example.org/recall""}]","[]"
300000000000,Hydrating Mist,FreshFace,Skin Care,"Water|Glycerin|Witch Hazel|Rosa Damascena Flower Water","[]","[]"
311111111111,Anti-Dandruff Conditioner,ScalpCare,Hair Care,"Pyrithione Zinc|Sodium Laureth Sulfate|Fragrance|Menthol","[]","[{""status"":""settled"",""date"":""2023-08-30"",""title"":""False advertising"",""source"":""https://example.org/case""}]"
322222222222,Leave-In Spray,SoftLocks,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
333333333333,SPF 30 Sunscreen,UltraShield,Skin Care,"Water|Homosalate|Octocrylene|Fragrance","[]","[]" 
344444444444,Texturizing Gel,StylePro,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
355555555555,Soothing Gel,CoolSkin,Skin Care,"Aloe Barbadensis Leaf Juice|Glycerin|Panthenol|Fragrance","[]","[]"
366666666666,Color Protect Conditioner,ColorSafe,Hair Care,"Water|Sodium Laureth Sulfate|Cocamidopropyl Betaine|Fragrance","[]","[]"
377777777777,Deep Repair Mask,HydraHair,Hair Care,"Water|Cetearyl Alcohol|Behentrimonium Methosulfate|Fragrance","[]","[]"
388888888888,Facial Wash,GentleGlow,Skin Care,"Water|Sodium Lauroyl Sarcosinate|Glycerin|Fragrance","[]","[]"
399999999999,Hair Thickening Serum,ThickLocks,Hair Care,"Water|Biotin|Caffeine|Fragrance","[]","[]"
400000000000,Mattifying Lotion,ClearSkin,Skin Care,"Water|Dimethicone|Glycerin|Fragrance","[]","[]"
411111111111,Curl Enhancing Gel,CurlMagic,Hair Styling,"Water|Cetearyl Alcohol|Behentrimonium Chloride|Fragrance","[]","[]"
422222222222,Anti-Aging Cream,YouthfulGlow,Skin Care,"Water|Hyaluronic Acid|Retinol|Fragrance","[]","[]"
433333333333,Heat Defense Spray,SafeStyle,Hair Styling,"Water|Cyclopentasiloxane|Dimethiconol|Fragrance","[]","[]"
444444444444,Detangling Conditioner,EzyComb,Hair Care,"Water|Glycerin|Panthenol|Fragrance","[]","[]"
455555555555,Exfoliating Gel,SmoothSkin,Skin Care,"Water|Jojoba Beads|Glycerin|Fragrance","[]","[]"
466666666666,Volumizing Conditioner,BigVolume,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|Citral","[]","[]"
477777777777,Hydrating Cream,MoistureBoost,Skin Care,"Water|Hyaluronic Acid|Glycerin|Fragrance","[]","[]"
488888888888,Texturizing Cream,StyleFix,Hair Styling,"Water|Alcohol Denat.|VP/VA Copolymer|Fragrance","[]","[]"
499999999999,Clarifying Gel,FoamLab,Hair Care,"Water|Sodium Laureth Sulfate|Fragrance|BHT","[]","[]"
500000000000,SPF 20 Moisturizer,SunKind,Skin Care,"Water|Zinc Oxide|Glycerin|Fragrance","[]","[]"
511111111111,Keratin Conditioner,SleekCo,Hair Care,"Cyclopentasiloxane|Dimethiconol|Quaternium-15|Limonene","[]","[{""status"":""filed"",""date"":""2024-11-20"",""title"":""Allergen claim"",""source"":""https://example.org/case""}]"
522222222222,Organic Day Cream,NatureGlow,Skin Care,"Aqua|Cetearyl Alcohol|Shea Butter|Lavandula Angustifolia Oil","[]","[]"
